feature,modality,auc,disc,p,neglog10p,cohens_d,nunique
dx_5990,dx,0.4463736263736264,0.5536263736263736,0.25304318067788434,0.5968053621049314,0.012460213384879239,3
dx_E039,dx,0.5092307692307692,0.5092307692307692,0.8348090485118821,0.07841285225454404,0.4588246229326655,3
dx_E669,dx,0.45274725274725275,0.5472527472527473,0.28489041744399357,0.5453221584164931,0.09457899436633839,3
dx_E785,dx,0.5709890109890109,0.5709890109890109,0.15674116182128175,0.8048169384108836,0.5317275494017005,3
dx_F329,dx,0.44373626373626374,0.5562637362637363,0.18626453056912484,0.729869837775163,0.07051877787685064,3
dx_F419,dx,0.46945054945054954,0.5305494505494505,0.49759743015892166,0.30312187122455614,0.17358779119535442,3
dx_I10,dx,0.4553846153846154,0.5446153846153846,0.354164280549371,0.4507952419673807,0.03692093244139943,3
dx_I2510,dx,0.5349450549450548,0.5349450549450548,0.4445208436010528,0.35210787012979344,0.5236419142918086,3
dx_I4891,dx,0.5349450549450548,0.5349450549450548,0.4445208436010528,0.35210787012979344,0.5236419142918086,3
dx_N179,dx,0.5439560439560439,0.5439560439560439,0.34925877952373585,0.45685266796027074,0.5209994789233539,3
dx_V1582,dx,0.407912087912088,0.592087912087912,0.06345090042598552,1.1975622104918582,-0.20713682619014692,3
dx_V5861,dx,0.4052747252747253,0.5947252747252747,0.04030583996489661,1.3946320238147487,-0.19155283661222594,3
dx_Z87891,dx,0.4707692307692307,0.5292307692307693,0.5346766834621273,0.27190875449051033,0.135966253665825,3
dx_Z955,dx,0.4835164835164835,0.5164835164835164,0.6892067843911929,0.16165045610915693,0.3918464739262248,3
